@RELATION ALGORITHM_RUNS_BBOB_2009_to_2015

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE relERT NUMERIC
@ATTRIBUTE ERT NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
BBOB_02D_FID01, 1, BSqi, 1.76666666666667, 10.6, ok
BBOB_02D_FID01, 1, BSrr, 1.76666666666667, 10.6, ok
BBOB_02D_FID01, 1, CMA-CSA, 13.6666666666667, 82, ok
BBOB_02D_FID01, 1, fmincon, 1.86666666666667, 11.2, ok
BBOB_02D_FID01, 1, fminunc, 1.16666666666667, 7, ok
BBOB_02D_FID01, 1, HCMA, 1, 6, ok
BBOB_02D_FID01, 1, HMLSL, 1.86666666666667, 11.2, ok
BBOB_02D_FID01, 1, IPOP400D, 11.5333333333333, 69.2, ok
BBOB_02D_FID01, 1, MCS, 2.6, 15.6, ok
BBOB_02D_FID01, 1, MLSL, 1.86666666666667, 11.2, ok
BBOB_02D_FID01, 1, OQNLP, 3.06666666666667, 18.4, ok
BBOB_02D_FID01, 1, SMAC-BBOB, 2.4, 14.4, ok
BBOB_02D_FID02, 1, BSqi, 1, 20.6, ok
BBOB_02D_FID02, 1, BSrr, 1.25242718446602, 25.8, ok
BBOB_02D_FID02, 1, CMA-CSA, 17.2135922330097, 354.6, ok
BBOB_02D_FID02, 1, fmincon, 1.95145631067961, 40.2, ok
BBOB_02D_FID02, 1, fminunc, 4.47572815533981, 92.2, ok
BBOB_02D_FID02, 1, HCMA, 9.23300970873786, 190.2, ok
BBOB_02D_FID02, 1, HMLSL, 1.95145631067961, 40.2, ok
BBOB_02D_FID02, 1, IPOP400D, 22.3106796116505, 459.6, ok
BBOB_02D_FID02, 1, MCS, 3.15533980582524, 65, ok
BBOB_02D_FID02, 1, MLSL, 1.95145631067961, 40.2, ok
BBOB_02D_FID02, 1, OQNLP, 2.47572815533981, 51, ok
BBOB_02D_FID02, 1, SMAC-BBOB, 999999999, 999999999, other
BBOB_02D_FID03, 1, BSqi, 1, 80.6, ok
BBOB_02D_FID03, 1, BSrr, 1.07196029776675, 86.4, ok
BBOB_02D_FID03, 1, CMA-CSA, 45.3672456575682, 3656.6, ok
BBOB_02D_FID03, 1, fmincon, 28.2084367245658, 2273.6, ok
BBOB_02D_FID03, 1, fminunc, 26.2009925558313, 2111.8, ok
BBOB_02D_FID03, 1, HCMA, 2.74193548387097, 221, ok
BBOB_02D_FID03, 1, HMLSL, 8.82630272952854, 711.4, ok
BBOB_02D_FID03, 1, IPOP400D, 23.1451612903226, 1865.5, ok
BBOB_02D_FID03, 1, MCS, 8.63523573200993, 696, ok
BBOB_02D_FID03, 1, MLSL, 26.8808933002481, 2166.6, ok
BBOB_02D_FID03, 1, OQNLP, 13.468982630273, 1085.6, ok
BBOB_02D_FID03, 1, SMAC-BBOB, 999999999, 999999999, other
BBOB_02D_FID04, 1, BSqi, 1, 98.8, ok
BBOB_02D_FID04, 1, BSrr, 1.03643724696356, 102.4, ok
BBOB_02D_FID04, 1, CMA-CSA, 192.259109311741, 18995.2, ok
BBOB_02D_FID04, 1, fmincon, 19.3562753036437, 1912.4, ok
BBOB_02D_FID04, 1, fminunc, 24.3441295546559, 2405.2, ok
BBOB_02D_FID04, 1, HCMA, 4.10121457489879, 405.2, ok
BBOB_02D_FID04, 1, HMLSL, 56.7348178137652, 5605.4, ok
BBOB_02D_FID04, 1, IPOP400D, 29.8076923076923, 2945, ok
BBOB_02D_FID04, 1, MCS, 13.7368421052632, 1357.2, ok
BBOB_02D_FID04, 1, MLSL, 42.919028340081, 4240.4, ok
BBOB_02D_FID04, 1, OQNLP, 61.9635627530364, 6122, ok
BBOB_02D_FID04, 1, SMAC-BBOB, 999999999, 999999999, other
BBOB_02D_FID05, 1, BSqi, 1.31818181818182, 5.8, ok
BBOB_02D_FID05, 1, BSrr, 1.31818181818182, 5.8, ok
BBOB_02D_FID05, 1, CMA-CSA, 5.54545454545454, 24.4, ok
BBOB_02D_FID05, 1, fmincon, 3.86363636363636, 17, ok
BBOB_02D_FID05, 1, fminunc, 2.95454545454545, 13, ok
BBOB_02D_FID05, 1, HCMA, 1.45454545454545, 6.4, ok
BBOB_02D_FID05, 1, HMLSL, 3.86363636363636, 17, ok
BBOB_02D_FID05, 1, IPOP400D, 5, 22, ok
BBOB_02D_FID05, 1, MCS, 1, 4.4, ok
BBOB_02D_FID05, 1, MLSL, 3.86363636363636, 17, ok
BBOB_02D_FID05, 1, OQNLP, 4.09090909090909, 18, ok
BBOB_02D_FID05, 1, SMAC-BBOB, 1.18181818181818, 5.2, ok
BBOB_02D_FID06, 1, BSqi, 177.947805456702, 10000.6666666667, ok
BBOB_02D_FID06, 1, BSrr, 275.083036773428, 15459.6666666667, ok
BBOB_02D_FID06, 1, CMA-CSA, 4.85409252669039, 272.8, ok
BBOB_02D_FID06, 1, fmincon, 1, 56.2, ok
BBOB_02D_FID06, 1, fminunc, 2.00355871886121, 112.6, ok
BBOB_02D_FID06, 1, HCMA, 6, 337.2, ok
BBOB_02D_FID06, 1, HMLSL, 1, 56.2, ok
BBOB_02D_FID06, 1, IPOP400D, 3.80782918149466, 214, ok
BBOB_02D_FID06, 1, MCS, 40.4555160142349, 2273.6, ok
BBOB_02D_FID06, 1, MLSL, 1, 56.2, ok
BBOB_02D_FID06, 1, OQNLP, 1.68683274021352, 94.8, ok
BBOB_02D_FID06, 1, SMAC-BBOB, 999999999, 999999999, other
BBOB_02D_FID07, 1, BSqi, 999999999, 999999999, other
BBOB_02D_FID07, 1, BSrr, 999999999, 999999999, other
BBOB_02D_FID07, 1, CMA-CSA, 1, 187, ok
BBOB_02D_FID07, 1, fmincon, 70.9614973262032, 13269.8, ok
BBOB_02D_FID07, 1, fminunc, 72.0855614973262, 13480, ok
BBOB_02D_FID07, 1, HCMA, 1.16149732620321, 217.2, ok
BBOB_02D_FID07, 1, HMLSL, 3.03743315508021, 568, ok
BBOB_02D_FID07, 1, IPOP400D, 1.93368983957219, 361.6, ok
BBOB_02D_FID07, 1, MCS, 2.26310160427807, 423.2, ok
BBOB_02D_FID07, 1, MLSL, 93.2638146167558, 17440.3333333333, ok
BBOB_02D_FID07, 1, OQNLP, 1.78502673796791, 333.8, ok
BBOB_02D_FID07, 1, SMAC-BBOB, 3.47593582887701, 650, ok
BBOB_02D_FID08, 1, BSqi, 508.354978354978, 23486, ok
BBOB_02D_FID08, 1, BSrr, 389.761904761905, 18007, ok
BBOB_02D_FID08, 1, CMA-CSA, 12.1601731601732, 561.8, ok
BBOB_02D_FID08, 1, fmincon, 1.5974025974026, 73.8, ok
BBOB_02D_FID08, 1, fminunc, 1.41125541125541, 65.2, ok
BBOB_02D_FID08, 1, HCMA, 8.29004329004329, 383, ok
BBOB_02D_FID08, 1, HMLSL, 1.5974025974026, 73.8, ok
BBOB_02D_FID08, 1, IPOP400D, 7.92640692640693, 366.2, ok
BBOB_02D_FID08, 1, MCS, 1, 46.2, ok
BBOB_02D_FID08, 1, MLSL, 1.5974025974026, 73.8, ok
BBOB_02D_FID08, 1, OQNLP, 1.51515151515152, 70, ok
BBOB_02D_FID08, 1, SMAC-BBOB, 999999999, 999999999, other
BBOB_02D_FID09, 1, BSqi, 999999999, 999999999, other
BBOB_02D_FID09, 1, BSrr, 1477.75757575758, 48766, ok
BBOB_02D_FID09, 1, CMA-CSA, 11.4242424242424, 377, ok
BBOB_02D_FID09, 1, fmincon, 1, 33, ok
BBOB_02D_FID09, 1, fminunc, 1.26666666666667, 41.8, ok
BBOB_02D_FID09, 1, HCMA, 7.75757575757576, 256, ok
BBOB_02D_FID09, 1, HMLSL, 1, 33, ok
BBOB_02D_FID09, 1, IPOP400D, 9.16363636363636, 302.4, ok
BBOB_02D_FID09, 1, MCS, 1.32727272727273, 43.8, ok
BBOB_02D_FID09, 1, MLSL, 1, 33, ok
BBOB_02D_FID09, 1, OQNLP, 1.13939393939394, 37.6, ok
BBOB_02D_FID09, 1, SMAC-BBOB, 999999999, 999999999, other
BBOB_02D_FID10, 1, BSqi, 999999999, 999999999, other
BBOB_02D_FID10, 1, BSrr, 515.034965034965, 14730, ok
BBOB_02D_FID10, 1, CMA-CSA, 12.6853146853147, 362.8, ok
BBOB_02D_FID10, 1, fmincon, 1, 28.6, ok
BBOB_02D_FID10, 1, fminunc, 3.64335664335664, 104.2, ok
BBOB_02D_FID10, 1, HCMA, 6.76923076923077, 193.6, ok
BBOB_02D_FID10, 1, HMLSL, 1, 28.6, ok
BBOB_02D_FID10, 1, IPOP400D, 16.2027972027972, 463.4, ok
BBOB_02D_FID10, 1, MCS, 381.321678321678, 10905.8, ok
BBOB_02D_FID10, 1, MLSL, 1, 28.6, ok
BBOB_02D_FID10, 1, OQNLP, 4.52447552447552, 129.4, ok
BBOB_02D_FID10, 1, SMAC-BBOB, 999999999, 999999999, other
BBOB_02D_FID11, 1, BSqi, 295.036496350365, 8084, ok
BBOB_02D_FID11, 1, BSrr, 149.233576642336, 4089, ok
BBOB_02D_FID11, 1, CMA-CSA, 12.7956204379562, 350.6, ok
BBOB_02D_FID11, 1, fmincon, 1, 27.4, ok
BBOB_02D_FID11, 1, fminunc, 2.70802919708029, 74.2, ok
BBOB_02D_FID11, 1, HCMA, 7.58394160583942, 207.8, ok
BBOB_02D_FID11, 1, HMLSL, 1, 27.4, ok
BBOB_02D_FID11, 1, IPOP400D, 19.5474452554745, 535.6, ok
BBOB_02D_FID11, 1, MCS, 621.313868613139, 17024, ok
BBOB_02D_FID11, 1, MLSL, 1, 27.4, ok
